system,ndcg@5,precision@5,recall@5,ndcg@10,precision@10,recall@10,ndcg@20,precision@20,recall@20,ap,rr,map,mrr,hit_rate@5,hit_rate@10,hit_rate@20
BM25 Only,0.4271543584514003,0.42028985507246375,0.07028985507246377,0.44039101083723525,0.4028985507246377,0.13317230273752012,0.5304645827071677,0.3702898550724637,0.24428341384863128,0.460542472538375,0.5399558640500669,0.460542472538375,0.5399558640500669,0.7101449275362319,0.782608695652174,0.8405797101449275
Semantic Only,0.4358624853529299,0.4289855072463768,0.07198067632850243,0.43136456402737655,0.37971014492753624,0.12391304347826088,0.49031880033573727,0.32028985507246377,0.2097423510466989,0.4332457040478257,0.551334680862091,0.4332457040478257,0.551334680862091,0.6956521739130435,0.7391304347826086,0.7536231884057971
Hybrid (50/50),0.44574754853577175,0.4347826086956522,0.07318840579710147,0.4472695306383984,0.4086956521739131,0.13542673107890496,0.5303859407624767,0.3731884057971014,0.2449275362318841,0.4654700002384538,0.5855014038331618,0.4654700002384538,0.5855014038331618,0.6956521739130435,0.7536231884057971,0.8405797101449275
